number,title,author,commentsCount,reviewThreadsCount,reviewsCount
6011,fix(dns): fixed lookup function decorator to work properly in node 20.x;,DigitalBrainJS,0,1,1
6002,fix(lib/adapters/xhr.js): CVE-2023-45857,valentin-panov,3,0,0
6000,fix: add type for request in AxiosError class,naman22a,0,0,0
5987,fix: wrap errors to improve async stack trace,ikonst,11,7,7
5983,Added new folder docs and fixed the issue,Jibesh10101011,0,0,0
5982,Enhance Contribution Documentation,Yugender025,0,0,0
5978,Fixed the breaking UI and made it responsive for all screens as per issue #5977,Swarga-codes,2,0,0
5975,Fix toJSONObject does not handle Set properly,advaittrivedi1122,0,0,0
5974,Add support for file,advaittrivedi1122,0,0,0
5972,fix: add support for file as body,advaittrivedi1122,0,0,0
5971,Create error issue,Mukesh-ghildiyal,1,0,0
5970,Added some fixes in contributing.md file with using npm,TheShiveshNetwork,1,1,2
5966,Update README.md,arujjval,0,0,0
5964,feat: sandbox responsive done,sudhanshuku01,0,0,0
5961,Adjusted the layout for Axios Sandbox,shivamk23,2,0,0
5960,fixes: Change Logo Size on Intro Page,Akash9119,0,0,0
5959,Corrected the bug in examples/server.js file,vishal-sharma-369,2,2,5
5958,fix: fixed the logo size,snehaa4,0,0,0
5957,Improve the ui and layout.,Herik25,2,0,0
5956,modified html file,Shivammishra1432,3,0,0
5954,Fixed the size of Axios Logo,AbhishekKumarMajumdar,1,0,0
5953,fix: #5951 uneven send-request layout,Hrx717,1,0,0
5952,fix: Fix uneven layout issue in axios sandbox when pressing send request button with adding overflow-x css,tejodeepmitraroy,1,0,0
5949,Reduce the Size of Logo on Intro Page #5948,Shivam-Batham,1,0,2
5943,Updated README.md,Harshdev098,1,0,0
5942,fix:updated the permalink and right branch in README.md,shreenarayan123,1,0,1
5941,docs: fix:updated the permalink and right branch in README.md #5927,PankajBaliyan,1,0,0
5940,Update gulpfile.js,Hacxmr,0,1,1
5939,Update index.js,Hacxmr,0,0,0
5938,fix(examples): application crashed when navigating examples in browser,NitinRamnani,1,0,0
5936,Update README.md,lipinnnnn,1,0,1
5935,chore: fix contribution guide,ueokande,1,0,1
5933,chore: change file mode to 644,ueokande,0,0,0
